
H4PE33	S26Q33 AVOID CONFRONTING PROBLEMS-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	70	6.46	6.47	6.47
	2	Agree	402	37.12	37.15	43.62
	3	Neither agree nor disagree	276	25.48	25.51	69.13
	4	Disagree	293	27.05	27.08	96.21
	5	Strongly disagree	39	3.60	3.60	99.82
	8	Don't know	2	0.18	0.18	100.00
	Total		1082	99.91	100.00	
Missing	.		1	0.09		
Total			1083	100.00		



H4PE36	S26Q36 LIVE W/O THOUGHT FOR FUTURE-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	13	1.20	1.20	1.20
	2	Agree	115	10.62	10.63	11.83
	3	Neither agree nor disagree	148	13.67	13.68	25.51
	4	Disagree	639	59.00	59.06	84.57
	5	Strongly disagree	164	15.14	15.16	99.72
	8	Don't know	3	0.28	0.28	100.00
	Total		1082	99.91	100.00	
Missing	.		1	0.09		
Total			1083	100.00		



H4PE40	S26Q40 LOW CONTRL EVENTS HAPPEN TO ME-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	12	1.11	1.11	1.11
	2	Agree	80	7.39	7.39	8.50
	3	Neither agree nor disagree	159	14.68	14.70	23.20
	4	Disagree	667	61.59	61.65	84.84
	5	Strongly disagree	163	15.05	15.06	99.91
	8	Don't know	1	0.09	0.09	100.00
	Total		1082	99.91	100.00	
Missing	.		1	0.09		
Total			1083	100.00		



H1GH39	S3Q39 WEAR HELMET WHILE CYCLING-W1

			Freq.	Percent	Valid	Cum.
Valid	0	Never	704	65.00	65.00	65.00
	1	Rarely	35	3.23	3.23	68.24
	2	Sometimes	32	2.95	2.95	71.19
	3	Most of the time	16	1.48	1.48	72.67
	4	Always	19	1.75	1.75	74.42
	5	Never rides a bicycle	276	25.48	25.48	99.91
	8	Don't know	1	0.09	0.09	100.00
	Total		1083	100.00	100.00	



H1GH40	S3Q40 FREQ-RIDE A MOTORCYCLE-W1

			Freq.	Percent	Valid	Cum.
Valid	0	Never (skip to Q.42)	831	76.73	76.73	76.73
	1	Once or twice	133	12.28	12.28	89.01
	2	About once a month	50	4.62	4.62	93.63
	3	About once a week	32	2.95	2.95	96.58
	4	Almost every day	36	3.32	3.32	99.91
	8	Don't know	1	0.09	0.09	100.00
	Total		1083	100.00	100.00	



H1GH41	S3Q41 FREQ-WEAR MOTORCYCLE HELMET-W1

			Freq.	Percent	Valid	Cum.
Valid	0	Never	87	8.03	8.03	8.03
	1	Rarely	22	2.03	2.03	10.06
	2	Sometimes	21	1.94	1.94	12.00
	3	Most of the time	15	1.39	1.39	13.39
	4	Always	106	9.79	9.79	23.18
	7	Legitimate skip	831	76.73	76.73	99.91
	8	Don't know	1	0.09	0.09	100.00
	Total		1083	100.00	100.00	



H1GH42	S3Q42 FREQ-WEAR SEAT BELT IN CAR-W1

			Freq.	Percent	Valid	Cum.
Valid	0	Never	85	7.85	7.85	7.85
	1	Rarely	119	10.99	10.99	18.84
	2	Sometimes	165	15.24	15.24	34.07
	3	Most of the time	240	22.16	22.16	56.23
	4	Always	473	43.67	43.67	99.91
	8	Don't know	1	0.09	0.09	100.00
	Total		1083	100.00	100.00	



H1GH43	S3Q43 FREQ-DRINK ALCOHOL AND DRIVE-W1

			Freq.	Percent	Valid	Cum.
Valid	0	Never	1045	96.49	96.49	96.49
	1	1 time	21	1.94	1.94	98.43
	2	2 or 3 times	12	1.11	1.11	99.54
	3	4 or 5 times	2	0.18	0.18	99.72
	4	6 or more times	2	0.18	0.18	99.91
	8	Don't know	1	0.09	0.09	100.00
	Total		1083	100.00	100.00	



H1GH44	S3Q44 CHANCES OF GETTING AIDS-W1

			Freq.	Percent	Valid	Cum.
Valid	1	Very high	19	1.75	1.75	1.75
	2	High	47	4.34	4.34	6.09
	3	Low	178	16.44	16.44	22.53
	4	Very low	327	30.19	30.19	52.72
	5	None	501	46.26	46.26	98.98
	8	Don't know	11	1.02	1.02	100.00
	Total		1083	100.00	100.00	



H1GH46	S3Q46 CHANGES OF GETTING OTHER STDS-W1

			Freq.	Percent	Valid	Cum.
Valid	1	Very high	13	1.20	1.20	1.20
	2	High	35	3.23	3.23	4.43
	3	Low	160	14.77	14.77	19.21
	4	Very low	317	29.27	29.27	48.48
	5	No chance	549	50.69	50.69	99.17
	6	Refused	1	0.09	0.09	99.26
	8	Don't know	8	0.74	0.74	100.00
	Total		1083	100.00	100.00	

